Winner,weight_class,B_avg_KD,B_avg_SUB_ATT,B_avg_TD_att,B_avg_DISTANCE_landed,B_avg_CLINCH_landed,B_avg_GROUND_landed,B_avg_CTRL_time.seconds.,B_total_title_bouts,B_longest_win_streak,B_losses,B_win_by_KO.TKO,B_win_by_Submission,B_Reach_cms,B_age,B_current_streak,B_win_by_Decision,R_avg_KD,R_avg_SUB_ATT,R_avg_TD_att,R_avg_DISTANCE_landed,R_avg_CLINCH_landed,R_avg_GROUND_landed,R_avg_CTRL_time.seconds.,R_total_title_bouts,R_longest_win_streak,R_losses,R_win_by_KO.TKO,R_win_by_Submission,R_Reach_cms,R_age,R_current_streak,R_win_by_Decision
Red,Bantamweight,0.28125,0.03125,2.46875,19.140625,0.6875,5.515625,101.7890625,1,4,3,0,1,175.26,30,-1,4,0.250244141,0.119750977,0.938354492,25.88793945,1.697753906,2.328369141,38.74511719,0,4,7,3,2,172.72,29,1,2
Blue,Heavyweight,0.09375,0.140625,1.140625,27.90625,3.8125,1.4375,50.4375,0,1,4,1,0,198.12,32,-1,2,0.50491333,0,0.136260986,45.0418396,0.05291748,10.61804199,79.58081055,0,2,9,4,0,193.04,35,-1,3
Blue,Middleweight,0,1.078125,2.53125,31.3515625,5.640625,22.828125,108.1171875,0,3,3,0,2,187.96,27,1,3,0,0.734375,3.51171875,21.31347656,3.373046875,2.161132813,74.03320313,0,4,3,3,3,195.58,32,1,2
Red,LightHeavyweight,0.033203125,0.001953125,7.353515625,16.484375,31.3671875,7.900390625,261.1464844,0,2,4,0,0,190.5,30,-1,6,0.026855469,0.188232422,1.991821289,33.71276855,1.544311523,1.687255859,33.37634277,1,3,6,5,2,193.04,32,-1,1
Red,WomenFlyweight,0,0.140625,5.625,72.3828125,1.6953125,16.0703125,335.7421875,0,3,2,0,3,162.56,33,3,3,0.000976563,1.00390625,0.901367188,21.36621094,5.76171875,11.90820313,172.3330078,1,3,4,0,0,172.72,31,1,7
Red,WomenFlyweight,0.25,0.75,0.125,19.375,1.5,3.5,190.5,0,2,2,0,1,170.18,26,-2,1,0,0.75,0.25,22.625,8.75,1.375,71.5,0,1,2,0,1,170.18,36,1,1
Red,WomenFlyweight,0,0.5,0.5,36.3125,4.6875,0.25,76.8125,0,2,2,0,1,162.56,32,-1,2,0.125,0.1953125,3.015625,27.43359375,1.646484375,12.63476563,305.1679688,5,5,2,2,2,167.64,32,1,4
Red,Flyweight,1.03125,0.296875,1.109375,18.828125,3.6875,4.3125,97.21875,0,3,1,2,2,165.1,28,3,2,1.35546875,2.43359375,0.73046875,15.1640625,1.578125,13.46875,94.4375,1,4,1,4,2,172.72,32,4,2
Blue,LightHeavyweight,0.125,0.951171875,1.865234375,12.1015625,3.4140625,2.181640625,44.19140625,0,1,5,0,5,193.04,32,1,0,0.223796844,0.000307083,3.514442444,32.22351742,3.498912811,5.764844894,255.9195404,3,3,10,8,0,193.04,38,-1,3
Blue,Welterweight,0.640992165,0.12506485,4.261185646,46.83891249,11.36525011,3.013700008,201.0749083,0,4,10,5,2,190.5,36,2,5,0.504882813,0,0.92578125,39.51538086,6.104248047,10.52563477,210.5629883,0,2,6,4,0,180.34,29,2,3
