"Winner","B_avg_SUB_ATT","B_avg_TD_att","B_avg_HEAD_landed","B_avg_BODY_landed","B_avg_LEG_landed","B_avg_GROUND_landed","B_avg_CTRL_time.seconds.","B_age","R_avg_SUB_ATT","R_avg_TD_att","R_avg_HEAD_landed","R_avg_BODY_landed","R_avg_LEG_landed","R_avg_GROUND_landed","R_avg_CTRL_time.seconds.","R_age"
"Red",0.984375,6.3046875,9.0703125,1.0078125,0.3125,1.765625,132.1796875,31,1.53e-05,0.851579189,33.12458515,20.87707162,13.16657782,10.34023285,91.78734851,34
"Red",0.01965332,6.872344971,49.10369873,12.27511597,21.35525513,3.749816895,128.9945984,35,0.766052246,0.304992676,8.015594482,4.559631348,4.978668213,2.3800354,60.41546631,36
"Red",0,0.0625,49,35.4375,3.5,3.0625,6.375,29,0.265625,0.0390625,25.9375,9.171875,19.6953125,1.875,8.234375,31
"Blue",0.223144531,4.522705078,25.60058594,6.529052734,5.496826172,2.573486328,290.5378418,26,0.000797342,4.373028582,10.61177086,7.614044276,6.876116514,9.207656834,147.0400326,38
"Blue",0.035400391,0.237915039,18.86181641,5.440917969,7.485473633,1.249145508,16.6348877,37,0.015625,0.421875,27.828125,27.53125,17.09375,1.296875,9.703125,30
"Red",0,3.25,23.78125,2.75,0.25,8.46875,26.4375,29,0,0.0625,26.1875,24.125,14.9375,2,132.375,29
"Red",1,4,30.125,6.875,0.125,2.625,151.5,29,0,0,17.8125,1.0625,1.4375,10.1875,78.25,28
"Red",0.15625,1.831542969,20.05322266,13.08044434,2.934570313,6.663452148,133.8708496,38,0.004394531,7.610351563,96.00195313,21.43505859,19.66748047,0.657226563,267.5429688,32
"Red",0.5,1.001953125,22.39257813,2.9765625,2.892578125,3.779296875,36.70507813,29,0.234375,0.484375,29.375,12.484375,10.765625,5,67,27
"Red",0.1875,7.609375,16.03125,5.71875,1.59375,5.953125,333.921875,37,0.562744141,3.009033203,51.61694336,24.16040039,20.72412109,12.9453125,161.4758301,34
"Red",0,0,10.75,8.5625,5.625,2.125,37.125,31,0.189349174,2.241091728,37.70349264,9.870986223,9.540050983,2.202087402,84.20179963,39
"Red",0,0.25,34.125,18.125,9.625,3,77.5,29,0.064453125,3.271812439,44.99282074,8.556358337,4.64125061,37.04654694,274.0879364,40
"Blue",0.333007813,1.1796875,11.21679688,5.784667969,10.45800781,0.584960938,33.10791016,36,0,2.953125,28.203125,3.671875,7.5,0.546875,81.640625,30
"Blue",0.5,4.875,33.125,10.1875,7.9375,6.125,134.5625,28,0.376464844,1.983642578,41.71533203,13.43237305,9.740966797,1.374511719,30.75268555,32
"Blue",0.019592285,5.456580639,37.25634861,13.4012742,11.79288244,6.977611542,163.7597384,33,0,0.31758213,47.66159248,12.42742252,3.816061974,4.172816277,44.126441,38
"Blue",0.033341885,6.258011907,25.24565783,7.564017981,8.503085315,2.580511808,120.9462114,38,0.092773438,0.652099609,35.67407227,17.30004883,20.65600586,3.392089844,28.14135742,33
